country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","12-04-2026 12:00:00",22.248853,70.776774,NO2,6,16,10
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","12-04-2026 12:00:00",22.248853,70.776774,CO,86,92,90
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","12-04-2026 12:00:00","21.217779 ","72.834787 ",PM2.5,28,136,70
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","12-04-2026 12:00:00",22.977134,72.553024,PM10,108,453,260
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","12-04-2026 12:00:00",22.977134,72.553024,OZONE,1,109,10
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","12-04-2026 12:00:00",21.755417,72.139056,SO2,5,8,6
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","12-04-2026 12:00:00",23.002657,72.591912,CO,18,45,27
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","12-04-2026 12:00:00",20.362421,72.918013,PM10,NA,NA,NA
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","12-04-2026 12:00:00",16.316553,80.413302,CO,12,22,15
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","12-04-2026 12:00:00",14.465052,78.824187,PM2.5,59,71,67
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","12-04-2026 12:00:00",14.465052,78.824187,OZONE,26,36,28
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","12-04-2026 12:00:00",16.186555,81.13219,SO2,15,22,17
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","12-04-2026 12:00:00","14.438164 ","79.966814 ",PM10,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","12-04-2026 12:00:00",16.9872867,81.7363176,PM10,17,69,44
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","12-04-2026 12:00:00",16.9872867,81.7363176,NO2,2,27,12
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","12-04-2026 12:00:00",13.67,79.35,PM10,50,106,80
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","12-04-2026 12:00:00",13.67,79.35,CO,13,32,17
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","12-04-2026 12:00:00",13.615387,79.409230,PM2.5,56,214,70
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","12-04-2026 12:00:00",13.615387,79.409230,OZONE,25,26,26
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","12-04-2026 12:00:00",16.486692,80.699436,OZONE,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","12-04-2026 12:00:00",16.509717,80.612222,NO2,16,26,20
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","12-04-2026 12:00:00",13.204880,79.097889,NO2,29,35,33
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","12-04-2026 12:00:00",13.204880,79.097889,NH3,6,8,6
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","12-04-2026 12:00:00",16.316553,80.413302,PM10,47,57,51
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","12-04-2026 12:00:00",16.316553,80.413302,NO2,18,29,23
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","12-04-2026 12:00:00",16.316553,80.413302,NH3,4,6,5
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","12-04-2026 12:00:00",27.103358,93.679645,NH3,1,1,1
